week,babyDevelopment,pregnancySymptoms,pregnancyChecklist,images
22,"At 22 weeks of pregnancy, the baby's development includes the presence of visible hair on the head, eyebrows, and lanugo (soft, fine body hair) on the back, ears, shoulders, and forehead. The baby may be able to hear sounds from inside the mother's body, such as breathing, heartbeat, and digestion. The baby is approximately the size of a spaghetti squash, measuring 11.42 inches and weighing 1.05 pounds.","Acne;Spider veins;Diarrhea;Swelling;Leg cramps;Pelvic pain","Think about the baby shower;Ensure an adequate intake of iron to prevent anemia;Sign up for birth classes to prepare for labor and delivery;Be aware of carpal tunnel syndrome, which pregnant women may be more prone to due to hand and wrist swelling","https://assets.babycenter.com/ims/2018/06/pregnancy-week-22-eyes_square.png;https://assets.babycenter.com/ims/2020/12/22-weeks-pregnant-recolored-app.png"
23,"At 23 weeks of pregnancy, the baby's development includes the ability to hear external sounds, such as the mother's voice, and the beginning of wave-like movements in the digestive system, though no actual food is present. Baby movements may transition from subtle flutters to stronger kicks and jabs, allowing for the observation of patterns. The baby is approximately the size of a large mango, measuring 12.05 inches and weighing 1.25 pounds.","Appearance of the linea nigra (dark line on the belly);Breast changes;Pregnancy cravings;Vision changes;Forgetfulness","Decide whether to hire a doula for labor support;Write a letter or create a keepsake for the baby;Sleep on the side for better rest;Start exercises to prepare the body for labor","https://assets.babycenter.com/ims/2018/06/pregnancy-week-23-hearing_square.png;https://assets.babycenter.com/ims/2020/12/23-weeks-pregnant-recolored-app.png"
24,"At 24 weeks, the baby's development includes the growth and multiplication of respiratory sacs in the lungs, enhancing the exchange of oxygen and carbon dioxide. Although the baby is still relatively lean, the body is proportionally filling out, and the skin remains thin. Facial expressions, such as eyebrow-raising, are practiced by the baby. The baby is approximately the size of an ear of corn, measuring 12.68 inches and weighing 1.48 pounds.","Rashes;Spotting;Mood swings;Shortness of breath;Increased appetite;Melasma","Know the signs of preterm labor;Seek medical attention for symptoms like unusual discharge, bleeding, cramping, pelvic pressure, low back pain, or leaking fluid;Consider safety measures and babyproofing for the home;Think about cord blood banking;Prepare for the glucose screening, a routine test for gestational diabetes typically scheduled between 24 and 28 weeks","https://assets.babycenter.com/ims/2018/06/pregnancy-week-24-lung-development_square.png;https://assets.babycenter.com/ims/2020/12/24-weeks-pregnant-recolored-app.png"
25,"At 25 weeks, the baby is undergoing significant developments, such as the accumulation of baby fat, leading to a smoother appearance and a resemblance to a newborn. The baby is also growing more hair, with its color and texture becoming discernible. Sleeping patterns are established, with the baby spending most of its time in cycles of rapid eye movement (REM) and non-REM sleep. The baby's size is approximately that of a rutabaga, measuring 13.27 inches and weighing 1.73 pounds.","Thicker hair due to hormonal changes;Pelvic girdle pain or symphysis dysfunction (SPD);Itching caused by skin stretching;Insomnia;Dizziness;Gas and bloating","Recognize signs of potential pregnancy problems;Seek medical attention if needed;Think about the baby's sleeping space;Plan for financial considerations and maternity leave options;Get vaccinated against recommended diseases like flu, Tdap, and COVID-19","https://assets.babycenter.com/ims/2018/06/pregnancy-week-25-baby-fat_square.png;https://assets.babycenter.com/ims/2020/12/25-weeks-pregnant-recolored-app.png"
26,"At 26 weeks, the baby's lung development is progressing as it inhales and exhales small amounts of amniotic fluid. Additionally, the baby can now respond to sounds, including the mother's voice, and may exhibit changes in heartbeat, breathing, and movement when exposed to loud noises. For male babies, the testicles have started to descend into the scrotum. The baby's size is comparable to a scallion, measuring 13.82 inches and weighing 2.01 pounds.", "Lower-back pain; Braxton Hicks contractions; Headaches; Constipation; Appearance of stretch marks due to the rapid stretching of the skin","Plan a babymoon; Consider additional classes on baby care, breastfeeding, and infant CPR; Be prepared for potential worst-case scenarios, such as emergencies; Manage blood sugar through diet and exercise if diagnosed with gestational diabetes; Cope with gender disappointment and seek support if needed","https://assets.babycenter.com/ims/2018/06/pregnancy-week-26-ear-nerves_square.png; https://assets.babycenter.com/ims/2020/12/26-weeks-pregnant-recolored-app.png"
27,"At 27 weeks, the baby's eyes can now open and close, responding to light with movements. Fetal hiccups are common, lasting only a few moments and are considered normal. The baby's lungs are producing surfactant, essential for keeping air sacs open after birth. The baby's size is approximately that of a head of cauliflower, measuring 14.41 inches and weighing 2.33 pounds.","Extra body hair growth; Restless legs; Urinary incontinence; Swelling (edema); Weight gain; Pelvic pain due to hormonal shifts, weight gain, and changes in the center of gravity","Prepare for more frequent prenatal visits; Conduct third-trimester shopping for essentials like nursing bras and comfortable postpartum clothing; Start Kegel exercises to strengthen pelvic floor muscles and prevent issues like urine leaks and hemorrhoids; Manage pelvic pain with regular exercise, breaks for rest, and supportive devices like pregnancy girdles or belly bands; Consistently monitor weight gain and seek professional advice if needed","https://assets.babycenter.com/ims/2018/06/pregnancy-week-27-sleep_square.png; https://assets.babycenter.com/ims/2020/12/27-weeks-pregnant-recolored-app.png"
28,"During this trimester, your baby's brain will significantly grow, tripling in weight and developing deep grooves in the cerebrum to increase surface area without requiring more space. Additionally, your baby's senses of hearing, smell, and touch are now functional, and by 28 weeks, the autonomic nervous system begins to regulate body temperature and rhythmic breathing movements, aiding in lung development. The baby is the size of a large eggplant.","Leg Cramps During Pregnancy - Common in the third trimester, caused by extra weight, potential vitamin deficiencies, and less exercise. Temporary and can be eased by changing positions or gentle movement; Hemorrhoids - Swollen blood vessels causing light bleeding, common due to constipation, pressure from the growing uterus, and hormonal changes. Preventable by staying hydrated, active, and eating high-fiber foods; Weird Dreams - Increased due to hormonal changes and interrupted sleep, reflecting anxieties about pregnancy and parenting. More vivid and possibly involves increased sex dreams due to higher blood flow; Pregnancy Rashes - This can be caused by pre-existing conditions or specific pregnancy-related conditions like atopic eruption of pregnancy and PUPPP. Treatment varies from topical ointments to oral medications; Leaking Breasts - Possible in the third trimester, indicating colostrum production. Colostrum is nutrient-rich, preparing the body for breastfeeding. Use nursing pads if leakage is bothersome.","Track Baby Movements - Notice patterns of your baby's movements in the third trimester and alert healthcare providers to any changes, as it could indicate a problem; Find a Pediatrician - Start looking for a pediatrician who meets your insurance, location, and schedule needs, as the baby will need a check-up shortly after birth; Create a Birth Plan - While optional, a birth plan can help you outline your preferences for labor and delivery, which you should discuss with your healthcare provider; Budget for Baby Costs - Research and budget for major first-year expenses like diapers, formula, and daycare using tools like a Baby Costs Calculator; Prepare and proactive planning - Preparation and proactive planning are key to ensuring the health and well-being of both mother and baby during pregnancy and beyond.","https://assets.babycenter.com/ims/2018/06/pregnancy-week-28-eyelashes_square.png; https://assets.babycenter.com/ims/2020/12/28-weeks-pregnant-recolored-app.png"
29,"Your baby's bones are strengthening through calcium absorption, requiring about 250 milligrams daily, while a protective myelin sheath forms around their nerves. Additionally, their respiratory system is developing, with surfactant production by 35 weeks ensuring they can breathe air at birth. The baby is the size of a butternut squash.","Anemia - Iron is crucial during pregnancy for the baby, placenta, and production of hemoglobin. Low iron levels can lead to anemia, causing fatigue and weakness, and may require supplements or infusions; Cramping - Common in the third trimester, cramping can result from round ligament pain, Braxton Hicks, or constipation, but severe cramping could indicate serious issues like preterm labor; Heartburn - Caused by the relaxation of gastrointestinal muscles due to pregnancy hormones and a growing uterus. Management includes smaller meals, staying hydrated, and using pillows for elevation; Lightheadedness - Changes in the cardiovascular system can cause lightheadedness or dizziness, mitigated by regular eating, drinking, and cautious movement.","Third-Trimester Prenatal Visits: Increased frequency of visits to the doctor or midwife, moving to twice a month and then weekly from 36 weeks; opportunity to discuss labor, delivery, and any mood changes, like increased anxiety or depression; Assembling Baby Gear: - Unpack and assemble baby gear like cribs, bassinets, changing tables, and strollers with help from a friend or partner; Hospital or Birth Center Tour - Take a tour to familiarize yourself with the birth location and complete preregistration for a smoother admission process; Gathering Your Support Team - Begin organizing support from friends and family for post-birth, potentially arranging a meal train and assistance with newborn care.","https://assets.babycenter.com/ims/2018/06/pregnancy-week-29-brain-development_square.png; https://assets.babycenter.com/ims/2020/12/29-weeks-pregnant-recolored-app.png"
30,"Your baby is developing melanin, determining skin color, with their permanent skin tone settling around 6 months post-birth, and they may now have more head hair as body hair (lanugo) sheds before birth. Their eyes can open and perceive dim shapes, with pupils adjusting to light by 31 weeks. The baby is the size of a large cabbage.","Belly Button Changes - The expanding uterus may turn an 'innie' belly button into an 'outie,' causing sensitivity or discomfort and in rare cases, can lead to an incarcerated umbilical hernia needing emergency care; Brown Discharge - Increased estrogen causes more vaginal discharge, with brown discharge being old blood, usually harmless unless accompanied by symptoms indicating serious conditions like placenta previa or infection; Fatigue - The third trimester may bring renewed fatigue, necessitating rest and a healthy diet, and could indicate iron-deficiency anemia or depression; Swelling - Expected swelling in ankles and feet due to increased uterus size and fluid retention, with severe or sudden swelling needing immediate medical attention as it may signal preeclampsia or DVT; Mood Swings - Hormonal changes and stress can lead to mood swings, with severe or prolonged changes possibly indicating depression or anxiety, requiring professional treatment; Shortness of Breath - Increased oxygen needs and pressure on the diaphragm from the growing uterus cause shortness of breath, which may ease when the baby drops before labor, but severe symptoms should prompt immediate medical consultation.","Prenatal Massage: Book a session with a licensed therapist for relief from discomfort and to boost your mood; Research Doulas: Consider hiring a doula for labor, delivery, or postpartum support; Cord Blood Banking: Decide whether to privately bank your baby's cord blood or donate it to a public bank; Get Vaccinated: Stay up-to-date on vaccinations recommended during pregnancy. Consult your healthcare provider for personalized advice and guidance.","https://assets.babycenter.com/ims/2018/06/pregnancy-week-30-amniotic-fluid_square.png; https://assets.babycenter.com/ims/2020/12/30-weeks-pregnant-recolored-app.png"
31,"At 31 weeks, your baby is developing rapidly, plumping up with accumulating fat underneath the skin. Their movements are becoming more pronounced, with stretches, kicks, and somersaults, indicating their health and activity. Brain development is in full swing, with the cerebrum forming deep grooves, and tripling in weight during the last trimester. Your baby, now the size of a coconut, measures approximately 16.46 inches and weighs around 3.86 pounds.","Pregnancy symptoms may include Braxton Hicks contractions, leaky breasts producing colostrum, frequent urination due to hormonal changes and pressure on the bladder, lower back pain from a shifting center of gravity, and trouble sleeping.; Additionally, issues like sciatica, marked by pain radiating from the lower back down the buttocks and legs, may arise. These symptoms are common in pregnancy, and relief strategies include warm compresses, gentle stretches, Kegel exercises, and prenatal interventions like acupuncture or massage.; Your body may also experience heightened anxiety, increased urinary frequency, and difficulty sleeping. It's essential to stay hydrated and reach out to your healthcare provider if you have concerns.","Stretches for labor preparation; Involving your other children in anticipating the new baby; Considering pain management options for labor; Addressing mental health concerns; Babyproofing","https://assets.babycenter.com/ims/2018/06/pregnancy-week-31-taste-buds_square.png; https://assets.babycenter.com/ims/2020/12/31-weeks-pregnant-recolored-app.png"
32,"At 32 weeks, your baby is actively storing essential minerals like iron, calcium, and phosphorus, with iron stores lasting into the first six months after birth. The baby's lungs are still practicing breathing by inhaling and exhaling amniotic fluid. In terms of genital development, if it's a boy, his external genitalia are formed, and testicles are descending to the scrotum. For a girl, the uterus and ovaries are in place with all the eggs she'll have. The baby, approximately the size of a jicama, measures 16.93 inches and weighs around 4.30 pounds.","""Lightning crotch," characterized by sharp pelvic pains due to pressure from the growing baby; Swollen hands and face (indicating preeclampsia if severe); Itching skin from skin stretching; Stretch marks on the belly and breasts; Varicose veins due to increased pressure on veins; Changes in appetite with potential difficulty eating larger meals","Get vaccinated: Ensure Tdap, RSV, flu, and COVID shots are up to date to protect both you and your baby., Prepare for breastfeeding: Learn about it, consider classes and support groups, and arrange for a breast pump., Choose baby names: Use tools to explore options and discuss with your partner., Decide on delivery room guests: Consider who you want present and set visitor expectations., Stock up on supplies: Gather household essentials and baby care items for the postpartum period.","https://assets.babycenter.com/ims/2018/06/pregnancy-week-32-fingernails_square.png, https://assets.babycenter.com/ims/2020/12/32-weeks-pregnant-recolored-app.png"
33,"At 33 weeks, your baby's skull bones remain flexible and unfused, allowing movement and overlap during birth. The baby's skin is becoming less wrinkled, appearing soft and smooth as it plumps up in preparation for delivery. Though the womb is getting snug, the fetal movement remains consistent, and kicks may be felt in new areas as the baby adjusts to a head-down position. The baby, approximately the size of a pineapple, measures 17.36 inches and weighs around 4.77 pounds.","Trouble sleeping due to physical discomfort and anxiety; Wrist pain from carpal tunnel syndrome; Swollen labia caused by increased blood flow and hormonal changes; Frequent urination due to the growing uterus pressing on the bladder; Shortness of breath as the uterus expands; Occasional 'pregnancy brain' phenomenon characterized by forgetfulness","Think about grandparent names; Do kick counts to monitor fetal movement; Ensure you have an adequate supply of baby clothes; Start to childproof the baby's nursery","https://www.babycenter.com/pregnancy/week-by-week/33-weeks-pregnant; https://assets.babycenter.com/ims/2020/12/33-weeks-pregnant-recolored-app.png"
34,"At 34 weeks, your baby's development includes fully grown fingernails and the gradual plumping up of limbs. Your baby is responsive to sounds, light, and touch, with fully formed ears expected by the next week. At this stage, the baby is about the size of a cantaloupe, measuring 17.84 inches and weighing 5.24 pounds.","Aches and pains, particularly in the pelvic and lower back areas; Constipation due to hormonal changes; Noticeable Braxton Hicks contractions, typically not painful; Fatigue; Changes in vaginal discharge, with colostrum leakage from the breasts","Consider a postpartum doula for support after birth; Go shoe shopping due to potential changes in foot size from swelling; Try perineal massage to prepare for childbirth; Avoid keepsake ultrasounds from private clinics; ensure ultrasound procedures are conducted by trained professionals; Be aware of signs of preeclampsia, such as swelling and rapid weight gain, for timely medical intervention","https://assets.babycenter.com/ims/2018/06/pregnancy-week-34-lung-development_square.png; https://assets.babycenter.com/ims/2020/12/34-weeks-pregnant-recolored-app.png"
35,"At 35 weeks, the baby is surrounded by approximately a quart of amniotic fluid, which gradually decreases after 36 weeks. The baby's kidneys are fully developed, and urine, which the baby has been producing since 13 weeks, contributes to the amniotic fluid. Distinct sleep patterns are now noticeable, with increased movements during wakefulness and reduced activity during sleep. The baby's size is comparable to a honeydew melon, measuring 18.23 inches and weighing 5.72 pounds.","Heartburn due to the expanding uterus crowding internal organs; Clumsiness caused by changes in weight distribution; Headaches related to fatigue, hunger, or dehydration; Hemorrhoids resulting from increased pressure and constipation; Development of linea nigra (a dark line down the belly's center); Vision changes like blurry vision and dry eyes","Become familiar with signs of labor; Recognize early indications such as the baby dropping lower in the pelvis, increased Braxton Hicks contractions, and possible bloody discharge; Check the cervix for dilation and effacement; Monitor contractions' frequency and intensity; Install the baby's car seat; Wash baby clothes and bedding; Continue safe exercise, with modifications if necessary","https://assets.babycenter.com/ims/2018/06/pregnancy-week-35-fetal-weight_square.png; https://assets.babycenter.com/ims/2020/12/35-weeks-pregnant-recolored-app.png"
36,"At 36 weeks, the baby's lungs are prepared for breathing outside the womb. Baby bones are hardening, though still softer than adult bones, and some are made of flexible cartilage. The baby is shedding lanugo and vernix, swallowing them along with other secretions to create meconium, the blackish substance seen in early poops. The baby's size is approximately that of a head of romaine lettuce, measuring 18.62 inches and weighing 6.20 pounds.","Mild cramping; Headaches; Changes in vaginal discharge; Dizziness due to cardiovascular changes; Pelvic pain caused by hormonal shifts and changes in weight distribution","Pack a hospital bag with essentials; Understand signs of labor; Prepare food ahead for postpartum; Find a pediatrician for the baby, asking about accepting new patients, insurance, office hours, availability, and hospital affiliations","https://assets.babycenter.com/ims/2018/06/pregnancy-week-36-vernix-caseosa_square.png; https://assets.babycenter.com/ims/2020/12/36-weeks-pregnant-recolored-app.png"
37,"At 37 weeks, the baby's hair may range from peach fuzz to a full head, and its color may differ from the parents'. Baby's true eye color might not be evident at birth, with dark blue or slate-gray eyes gradually changing over the first year. The baby is gaining weight, and added fat is smoothing the skin to provide warmth after birth. The baby is approximately the size of a bunch of Swiss chard, measuring 19.02 inches and weighing 6.68 pounds.","More frequent Braxton Hicks contractions; Breasts leaking colostrum; Increased vaginal discharge or spotting; Continued monitoring of the baby's movements; Gas, bloating, lower back pain, and nesting instincts","Plan a birth announcement; Have the car seat checked by certified technicians; Indulge in nesting instincts, but stay mindful of health and safety","https://assets.babycenter.com/ims/2018/06/pregnancy-week-37-hair-growth_square.png; https://assets.babycenter.com/ims/2020/12/37-weeks-pregnant-recolored-app.png"
38,"At 38 weeks, the baby's nails are fully formed, and fat accumulation provides smooth skin. The baby measures about 19.41 inches and weighs 7.13 pounds, resembling the size of a leek. Common symptoms include swollen ankles, trouble sleeping due to insomnia, intense pregnancy dreams, lightning crotch (a sharp, short-lived pelvic or groin pain), different vaginal discharge indicating the loss of the mucus plug, heartburn, and nausea.","Swollen ankles; Trouble sleeping due to insomnia; Intense pregnancy dreams; Lightning crotch (sharp, short-lived pelvic or groin pain); Different vaginal discharge indicating the loss of the mucus plug; Heartburn; Nausea","Monitor for late-pregnancy complications; Have the house cleaned; Read up on baby feeding, considering both breastfeeding and formula feeding options; Familiarize yourself with newborn screening tests for rare but serious conditions","https://assets.babycenter.com/ims/2018/06/pregnancy-week-38-eye-color_square.png; https://assets.babycenter.com/ims/2020/12/38-weeks-pregnant-recolored-app.png"
39,"At 39 weeks, the baby continues to accumulate fat, measuring around 19.72 inches and weighing 7.57 pounds. The baby's reflexes, including a firm grasp, are well-developed, allowing interaction once born. Common symptoms include monitoring baby kicks for any decrease in activity, changes in the cervix during prenatal checkups, the possibility of leaking fluid or amniotic sac rupture, diarrhea potentially signaling early labor, pelvic pain, intensified mood swings, and alterations in vaginal discharge.","Monitoring baby movements is crucial, and any significant decrease should be reported to the doctor; Changes in the cervix can be checked during a prenatal exam, and leaking fluid or amniotic sac rupture requires immediate attention; Diarrhea may or may not indicate imminent labor, and consulting a healthcare provider is recommended; Pelvic pain, mood swings, and changes in vaginal discharge are common as the due date approaches.","Learn about postpartum body changes; Stock up on light entertainment for early labor distraction; Prepare for after-birth necessities such as maxi pads, postpartum underwear, and nursing bras; Write down pregnancy memories through journaling to capture the unique moments of this emotional time","https://assets.babycenter.com/ims/2018/06/pregnancy-week-39-mature-lungs_square.png; https://assets.babycenter.com/ims/2020/12/39-weeks-pregnant-recolored-app.png"
40,"At 40 weeks, the average baby weight is between 7 and 8 pounds, with an average length of about 20 inches. The baby's skin color at birth changes from reddish-purple to pinkish-red, and soft spots called fontanels are present on the baby's skull.","A healthcare provider may check the cervix for ripening; The possibility of the water breaking; Back pain due to increased weight and strain; Distinguishing between Braxton Hicks contractions and real labor contractions; Experiencing insomnia; Feeling pelvic pain and pressure as the baby drops lower in preparation for birth","Do exercises to prepare for labor; Finalize the baby names list; Learn about post-birth procedures and hospital protocols; Take time to relax and indulge in favorite activities before the baby arrives","https://assets.babycenter.com/ims/2018/06/pregnancy-week-40-soft-spots_square.png; https://assets.babycenter.com/ims/2020/12/40-weeks-pregnant-recolored-app.png"
41,"At 41 weeks, your baby is considered 'late-term,' potentially larger than average, and may have lost most of the vernix, the waxy coating on their skin. The estimated weight is around 8.35 pounds, and the length is approximately 20.39 inches.","Anxiety due to being overdue; Importance of monitoring fetal movements; Possible non-stress tests to check the baby's well-being; Significance of a slowdown in activity; Checking for signs of water breaking; Cervical dilation and effacement progress; Bloody show as a sign of labor preparation; Potential for nausea, which can be a sign of preeclampsia if persistent or new","Manage anxiety through stress-reducing activities; Keep track of baby movements; Be aware of signs like leaking fluid or bloody show; Consider self-care and indulgence while waiting for labor to begin; Connect with other moms-to-be for support; Treat yourself to relaxing activities during this waiting period","https://assets.babycenter.com/ims/2018/06/pregnancy-week-41-amniotic-fluid_square.png; https://assets.babycenter.com/ims/2020/12/41-weeks-pregnant-recolored-app.png"
